Time 1, Process 1, Started
Time 1.5, Process 1, Paused
Time 1.5, Process 1, Resumed
Time 1.95, Process 1, Paused
Time 1.95, Process 1, Resumed
Time 2.355, Process 1, Paused
Time 2.355, Process 2, Started
Time 2.655, Process 2, Paused
Time 2.655, Process 2, Resumed
Time 2.925, Process 2, Paused
Time 2.925, Process 2, Resumed
Time 3.168, Process 2, Paused
Time 3.168, Process 3, Started
Time 3.268, Process 3, Paused
Time 3.268, Process 3, Resumed
Time 3.358, Process 3, Paused
Time 3.358, Process 3, Resumed
Time 3.439, Process 3, Paused
Time 3.439, Process 3, Resumed
Time 3.512, Process 3, Paused
Time 3.512, Process 3, Resumed
Time 3.578, Process 3, Paused
Time 3.578, Process 3, Resumed
Time 3.637, Process 3, Paused
Time 3.637, Process 3, Resumed
Time 3.69, Process 3, Paused
Time 3.69, Process 3, Resumed
Time 3.738, Process 3, Paused
Time 3.738, Process 3, Resumed
Time 3.781, Process 3, Paused
Time 3.781, Process 3, Resumed
Time 3.819, Process 3, Paused
Time 3.819, Process 3, Resumed
Time 3.854, Process 3, Paused
Time 3.854, Process 3, Resumed
Time 3.886, Process 3, Paused
Time 3.886, Process 3, Resumed
Time 3.914, Process 3, Paused
Time 3.914, Process 3, Resumed
Time 3.939, Process 3, Paused
Time 3.939, Process 3, Resumed
Time 3.962, Process 3, Paused
Time 3.962, Process 3, Resumed
Time 3.983, Process 3, Paused
Time 3.983, Process 3, Resumed
Time 4.001, Process 3, Paused
Time 4.001, Process 3, Resumed
Time 4.018, Process 3, Paused
Time 4.018, Process 3, Resumed
Time 4.033, Process 3, Paused
Time 4.033, Process 3, Resumed
Time 4.046, Process 3, Paused
Time 4.046, Process 3, Resumed
Time 4.059, Process 3, Paused
Time 4.059, Process 3, Resumed
Time 4.07, Process 3, Paused
Time 4.07, Process 3, Resumed
Time 4.079, Process 3, Paused
Time 4.079, Process 3, Resumed
Time 4.088, Process 3, Paused
Time 4.088, Process 3, Resumed
Time 4.096, Process 3, Paused
Time 4.096, Process 3, Resumed
Time 4.103, Process 3, Paused
Time 4.103, Process 3, Resumed
Time 4.11, Process 3, Paused
Time 4.11, Process 3, Resumed
Time 4.116, Process 3, Paused
Time 4.116, Process 3, Resumed
Time 4.121, Process 3, Paused
Time 4.121, Process 3, Resumed
Time 4.126, Process 3, Paused
Time 4.126, Process 3, Resumed
Time 4.13, Process 3, Paused
Time 4.13, Process 3, Resumed
Time 4.134, Process 3, Paused
Time 4.134, Process 3, Resumed
Time 4.137, Process 3, Paused
Time 4.137, Process 3, Resumed
Time 4.14, Process 3, Paused
Time 4.14, Process 3, Resumed
Time 4.143, Process 3, Paused
Time 4.143, Process 3, Resumed
Time 4.145, Process 3, Paused
Time 4.145, Process 3, Resumed
Time 4.148, Process 3, Paused
Time 4.148, Process 3, Resumed
Time 4.15, Process 3, Paused
Time 4.15, Process 3, Resumed
Time 4.152, Process 3, Paused
Time 4.152, Process 3, Resumed
Time 4.153, Process 3, Paused
Time 4.153, Process 3, Resumed
Time 4.155, Process 3, Paused
Time 4.155, Process 3, Resumed
Time 4.156, Process 3, Paused
Time 4.156, Process 3, Resumed
Time 4.157, Process 3, Paused
Time 4.157, Process 3, Resumed
Time 4.158, Process 3, Paused
Time 4.158, Process 3, Finished
Time 4.158, Process 2, Resumed
Time 4.377, Process 2, Paused
Time 4.377, Process 2, Resumed
Time 4.574, Process 2, Paused
Time 4.574, Process 2, Resumed
Time 4.751, Process 2, Paused
Time 4.751, Process 2, Resumed
Time 4.91, Process 2, Paused
Time 4.91, Process 2, Resumed
Time 5.054, Process 2, Paused
Time 5.054, Process 2, Resumed
Time 5.183, Process 2, Paused
Time 5.183, Process 2, Resumed
Time 5.299, Process 2, Paused
Time 5.299, Process 2, Resumed
Time 5.404, Process 2, Paused
Time 5.404, Process 2, Resumed
Time 5.498, Process 2, Paused
Time 5.498, Process 2, Resumed
Time 5.583, Process 2, Paused
Time 5.583, Process 2, Resumed
Time 5.659, Process 2, Paused
Time 5.659, Process 2, Resumed
Time 5.728, Process 2, Paused
Time 5.728, Process 2, Resumed
Time 5.789, Process 2, Paused
Time 5.789, Process 2, Resumed
Time 5.845, Process 2, Paused
Time 5.845, Process 2, Resumed
Time 5.895, Process 2, Paused
Time 5.895, Process 2, Resumed
Time 5.94, Process 2, Paused
Time 5.94, Process 2, Resumed
Time 5.981, Process 2, Paused
Time 5.981, Process 2, Resumed
Time 6.017, Process 2, Paused
Time 6.017, Process 2, Resumed
Time 6.05, Process 2, Paused
Time 6.05, Process 2, Resumed
Time 6.079, Process 2, Paused
Time 6.079, Process 2, Resumed
Time 6.106, Process 2, Paused
Time 6.106, Process 2, Resumed
Time 6.13, Process 2, Paused
Time 6.13, Process 2, Resumed
Time 6.151, Process 2, Paused
Time 6.151, Process 2, Resumed
Time 6.171, Process 2, Paused
Time 6.171, Process 2, Resumed
Time 6.188, Process 2, Paused
Time 6.188, Process 2, Resumed
Time 6.204, Process 2, Paused
Time 6.204, Process 2, Resumed
Time 6.218, Process 2, Paused
Time 6.218, Process 2, Resumed
Time 6.231, Process 2, Paused
Time 6.231, Process 2, Resumed
Time 6.242, Process 2, Paused
Time 6.242, Process 2, Resumed
Time 6.253, Process 2, Paused
Time 6.253, Process 2, Resumed
Time 6.262, Process 2, Paused
Time 6.262, Process 2, Resumed
Time 6.27, Process 2, Paused
Time 6.27, Process 2, Resumed
Time 6.278, Process 2, Paused
Time 6.278, Process 2, Resumed
Time 6.284, Process 2, Paused
Time 6.284, Process 2, Resumed
Time 6.291, Process 2, Paused
Time 6.291, Process 2, Resumed
Time 6.296, Process 2, Paused
Time 6.296, Process 2, Resumed
Time 6.301, Process 2, Paused
Time 6.301, Process 2, Resumed
Time 6.305, Process 2, Paused
Time 6.305, Process 2, Resumed
Time 6.309, Process 2, Paused
Time 6.309, Process 2, Resumed
Time 6.313, Process 2, Paused
Time 6.313, Process 2, Resumed
Time 6.316, Process 2, Paused
Time 6.316, Process 2, Resumed
Time 6.319, Process 2, Paused
Time 6.319, Process 2, Resumed
Time 6.322, Process 2, Paused
Time 6.322, Process 2, Resumed
Time 6.324, Process 2, Paused
Time 6.324, Process 2, Resumed
Time 6.326, Process 2, Paused
Time 6.326, Process 2, Resumed
Time 6.328, Process 2, Paused
Time 6.328, Process 2, Resumed
Time 6.33, Process 2, Paused
Time 6.33, Process 2, Resumed
Time 6.331, Process 2, Paused
Time 6.331, Process 2, Resumed
Time 6.333, Process 2, Paused
Time 6.333, Process 2, Resumed
Time 6.334, Process 2, Paused
Time 6.334, Process 2, Resumed
Time 6.335, Process 2, Paused
Time 6.335, Process 2, Resumed
Time 6.336, Process 2, Paused
Time 6.336, Process 2, Finished
Time 6.336, Process 1, Resumed
Time 6.701, Process 1, Paused
Time 6.701, Process 1, Resumed
Time 7.029, Process 1, Paused
Time 7.029, Process 1, Resumed
Time 7.324, Process 1, Paused
Time 7.324, Process 1, Resumed
Time 7.59, Process 1, Paused
Time 7.59, Process 1, Resumed
Time 7.829, Process 1, Paused
Time 7.829, Process 1, Resumed
Time 8.044, Process 1, Paused
Time 8.044, Process 1, Resumed
Time 8.238, Process 1, Paused
Time 8.238, Process 1, Resumed
Time 8.412, Process 1, Paused
Time 8.412, Process 1, Resumed
Time 8.569, Process 1, Paused
Time 8.569, Process 1, Resumed
Time 8.71, Process 1, Paused
Time 8.71, Process 1, Resumed
Time 8.837, Process 1, Paused
Time 8.837, Process 1, Resumed
Time 8.952, Process 1, Paused
Time 8.952, Process 1, Resumed
Time 9.055, Process 1, Paused
Time 9.055, Process 1, Resumed
Time 9.147, Process 1, Paused
Time 9.147, Process 1, Resumed
Time 9.231, Process 1, Paused
Time 9.231, Process 1, Resumed
Time 9.306, Process 1, Paused
Time 9.306, Process 1, Resumed
Time 9.373, Process 1, Paused
Time 9.373, Process 1, Resumed
Time 9.434, Process 1, Paused
Time 9.434, Process 1, Resumed
Time 9.489, Process 1, Paused
Time 9.489, Process 1, Resumed
Time 9.538, Process 1, Paused
Time 9.538, Process 1, Resumed
Time 9.582, Process 1, Paused
Time 9.582, Process 1, Resumed
Time 9.622, Process 1, Paused
Time 9.622, Process 1, Resumed
Time 9.658, Process 1, Paused
Time 9.658, Process 1, Resumed
Time 9.69, Process 1, Paused
Time 9.69, Process 1, Resumed
Time 9.719, Process 1, Paused
Time 9.719, Process 1, Resumed
Time 9.746, Process 1, Paused
Time 9.746, Process 1, Resumed
Time 9.769, Process 1, Paused
Time 9.769, Process 1, Resumed
Time 9.79, Process 1, Paused
Time 9.79, Process 1, Resumed
Time 9.809, Process 1, Paused
Time 9.809, Process 1, Resumed
Time 9.827, Process 1, Paused
Time 9.827, Process 1, Resumed
Time 9.842, Process 1, Paused
Time 9.842, Process 1, Resumed
Time 9.856, Process 1, Paused
Time 9.856, Process 1, Resumed
Time 9.869, Process 1, Paused
Time 9.869, Process 1, Resumed
Time 9.88, Process 1, Paused
Time 9.88, Process 1, Resumed
Time 9.89, Process 1, Paused
Time 9.89, Process 1, Resumed
Time 9.899, Process 1, Paused
Time 9.899, Process 1, Resumed
Time 9.907, Process 1, Paused
Time 9.907, Process 1, Resumed
Time 9.915, Process 1, Paused
Time 9.915, Process 1, Resumed
Time 9.921, Process 1, Paused
Time 9.921, Process 1, Resumed
Time 9.927, Process 1, Paused
Time 9.927, Process 1, Resumed
Time 9.933, Process 1, Paused
Time 9.933, Process 1, Resumed
Time 9.938, Process 1, Paused
Time 9.938, Process 1, Resumed
Time 9.942, Process 1, Paused
Time 9.942, Process 1, Resumed
Time 9.946, Process 1, Paused
Time 9.946, Process 1, Resumed
Time 9.949, Process 1, Paused
Time 9.949, Process 1, Resumed
Time 9.953, Process 1, Paused
Time 9.953, Process 1, Resumed
Time 9.955, Process 1, Paused
Time 9.955, Process 1, Resumed
Time 9.958, Process 1, Paused
Time 9.958, Process 1, Resumed
Time 9.96, Process 1, Paused
Time 9.96, Process 1, Resumed
Time 9.962, Process 1, Paused
Time 9.962, Process 1, Resumed
Time 9.964, Process 1, Paused
Time 9.964, Process 1, Resumed
Time 9.966, Process 1, Paused
Time 9.966, Process 1, Resumed
Time 9.967, Process 1, Paused
Time 9.967, Process 1, Resumed
Time 9.969, Process 1, Paused
Time 9.969, Process 1, Resumed
Time 9.97, Process 1, Paused
Time 9.97, Process 1, Resumed
Time 9.971, Process 1, Paused
Time 9.971, Process 1, Finished
-----------------------------
Process 1 : 3.971
Process 2 : 1.336
Process 3 : 0.158
